"collaterals","timestamp","total_value"
"79837699630931",1627030804387,"578782716383648.07972"
"79737848545454",1626944404326,"564420906129517.76278"
"79617401987667",1626858001485,"498616819728500.6472"
"79289184979804",1626771600720,"444700711635354.12675"
"78649265403615",1626685204217,"498363346656369.07559"
"78689494213033",1626598802719,"522942910572294.68076"
"78457872373685",1626512406525,"504474366651891.15211"
"78487157248136",1626426002686,"509554123764251.13225"
"78260562989257",1626339604032,"551109338161561.27135"
"78073655438895",1626253206481,"522559597206459.1199"
"76852089408605",1626166805568,"606814376458897.88532"
"76864750254014",1626080404166,"634769634524810.59412"
"76955228287693",1625994005612,"642154743202125.96484"
"76849795291454",1625907606132,"622530256610400.50692"
"76945460644277",1625822934637,"560300830217128.99145"
"76944277584712",1625821202725,"547511171645823.11476"
"76899536807133",1625734806107,"515198364305239.22088"
"76570466874447",1625648404908,"542829101198805.51386"
"76420133735629",1625562005700,"488772850209334.42013"
"76387939828960",1625475601447,"446589749963750.24255"
"76093854413257",1625389203536,"457776023415410.93557"
"75934296720352",1625302801170,"447632504320131.38749"
"75460232798169",1625216402731,"432520046759286.54725"
"75134349576376",1625130004049,"441760446501893.69361"
"74839229172681",1625043601968,"447387211712958.84116"
"74515635671330",1624957207018,"417042760852674.25541"
"73985171073416",1624870805766,"398853573134657.4026"
"73727611340872",1624784400266,"384969650384897.07184"
"73632512399978",1624698002514,"365065359607510.87763"
"73307654141348",1624611603815,"388444174040195.89132"
"72947006420005",1624525203441,"387560585729709.77417"
"72705810201873",1624440995968,"380972387544628.75382"
"72606619416740",1624438800934,"382713163573521.08121"
"69651061602460",1624352400941,"340332605181735.22951"
"68997810557158",1624266005881,"367680122596212.81506"
"68514978530460",1624179605391,"391868947178425.64893"
"68093380031640",1624112977869,"395309960572833.331"
"67960992522670",1624093204263,"398152276458068.12076"
"67325864647911",1624006803523,"427390280201305.33613"
"66490932422230",1623920411002,"422552948345429.42474"
"66208043253526",1623834000471,"425195368162005.83453"
